archivo,clase_real,prediccion,confianza,correcta
Glass915.JPG,vidrio,vidrio,99.7,True
PET965.jpg,plastico,plastico,99.4,True
Glass900.JPG,vidrio,vidrio,99.6,True
Glass419.jpg,vidrio,vidrio,97.5,True
Glass10.jpg,vidrio,vidrio,99.7,True
PET757.jpg,plastico,plastico,99.9,True
"PET1,468.jpg",plastico,plastico,97.9,True
Glass479.jpg,vidrio,vidrio,95.3,True
Glass589.jpg,vidrio,vidrio,99.8,True
"Glass1,197.JPG",vidrio,vidrio,92.3,True
"PET1,217.jpg",plastico,plastico,91.4,True
PET828.jpg,plastico,plastico,100.0,True
"PET1,198.jpg",plastico,plastico,99.9,True
Glass309.jpg,vidrio,vidrio,93.7,True
PET947.jpg,plastico,plastico,98.2,True
Glass381.jpg,vidrio,vidrio,99.5,True
PET766.jpg,plastico,plastico,99.2,True
Glass810.JPG,vidrio,vidrio,100.0,True
PET636.jpg,plastico,plastico,99.9,True
PET970.jpg,plastico,plastico,96.8,True
"PET1,323.jpg",plastico,plastico,96.5,True
"PET1,493.jpg",plastico,plastico,98.7,True
Glass258.jpg,vidrio,vidrio,97.9,True
Glass620.jpg,vidrio,vidrio,96.9,True
